drone_image,features_drone,tile,total_matches,search_tiles,inliers,LG_confidence,median_reproj_error_px,shape_terms,shape_score,overall_confidence,x_meas,y_meas,phi_meas_deg,x_ekf,y_ekf,phi_ekf_deg,dx,dy,dx_ekf,dy_ekf,error,error_pred,ekf_error,time_s
11_0004.JPG,3003,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2124.56994307,626.62382738,89.691,N/A,N/A,-0.0009,1.5327,N/A,1.5327,1.5327,0.2249
11_0005.JPG,2969,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2679.95189007,623.62677338,89.691,N/A,N/A,-0.9902,1.1519,N/A,1.5190,1.5190,0.2279
11_0006.JPG,3136,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3235.33383707,620.62971939,89.691,N/A,N/A,-0.9911,2.0467,N/A,2.2741,2.2741,0.2296
11_0007.JPG,3228,sat_tile_y0_x0,21,2,5,0.143,0.000,"(0.282,0.545,0.415,0.929)",0.387,0.265,N/A,N/A,N/A,3790.71578407,617.63266539,89.691,N/A,N/A,-1.9803,5.4930,N/A,5.8391,5.8391,0.2269
11_0008.JPG,3008,sat_tile_y0_x0,439,2,44,0.780,1.815,"(0.984,0.515,0.987,0.930)",0.651,0.715,4413.09912109,648.79730225,88.351,4407.54752295,648.35684031,90.309,12.6021,-5.7257,11.3112,-5.5942,13.8419,5.3749,12.6190,0.3135
11_0009.JPG,2856,sat_tile_y0_x2488,624,3,78,0.730,2.094,"(0.988,0.503,0.993,0.929)",0.643,0.687,4865.78466797,623.49609375,88.550,4912.81771141,633.57928236,89.664,-11.2796,3.7423,-0.3426,0.7317,11.8842,14.0621,0.8079,0.3174
11_0010.JPG,2679,sat_tile_y0_x2488,32,2,7,0.300,1.369,"(0.993,0.492,0.994,0.919)",0.635,0.467,N/A,N/A,N/A,5465.42321107,630.33869808,89.664,N/A,N/A,-1.9775,-2.1279,N/A,2.9049,2.9049,0.2134
11_0011.JPG,2758,sat_tile_y0_x2488,599,2,62,0.718,1.918,"(0.979,0.518,0.987,0.931)",0.653,0.686,6087.17626953,649.07775879,88.009,6059.67367162,644.01571956,90.209,13.4554,-3.8959,7.0600,-2.3844,14.0080,3.7414,7.4518,0.3080
11_0012.JPG,2781,sat_tile_y0_x2488,94,2,11,0.325,1.170,"(0.991,0.521,0.992,0.937)",0.657,0.491,6690.90722656,607.53900146,86.948,6646.95082891,626.30473543,89.398,23.7005,7.2311,13.4789,1.6280,24.7790,8.6217,13.5769,0.2902
11_0013.JPG,3012,sat_tile_y0_x2488,75,2,13,0.245,1.238,"(0.977,0.512,0.983,0.930)",0.648,0.446,7142.27490234,640.74041748,87.216,7188.81828000,630.11111398,89.686,-1.4761,-1.4065,9.3471,1.7672,2.0389,15.8684,9.5126,0.3160
11_0014.JPG,3337,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7638.36150451,627.64821147,89.686,N/A,N/A,-15.2654,2.5026,N/A,15.4692,15.4692,0.2750
11_0015.JPG,3455,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8200.29053515,624.56958334,89.686,N/A,N/A,-14.7409,0.2325,N/A,14.7427,14.7427,0.2511
11_0016.JPG,3318,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8762.21956579,621.49095520,89.686,N/A,N/A,-13.2194,3.7032,N/A,13.7282,13.7282,0.2515
11_0017.JPG,3100,sat_tile_y0_x7464,24,2,4,0.152,0.000,"(0.000,0.184,0.000,0.000)",0.018,0.085,N/A,N/A,N/A,9324.14859643,618.41232706,89.686,N/A,N/A,-12.6861,5.2603,N/A,13.7335,13.7335,0.2532
11_0018.JPG,3094,sat_tile_y0_x4976,14,3,4,0.258,0.000,"(0.000,1.000,0.000,0.138)",0.114,0.186,N/A,N/A,N/A,9886.07762706,615.33369892,89.686,N/A,N/A,-11.1646,4.2659,N/A,11.9518,11.9518,0.3062
11_0019.JPG,3150,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10448.00665770,612.25507079,89.686,N/A,N/A,-10.6314,7.0987,N/A,12.7835,12.7835,0.2363
11_0020.JPG,3419,sat_tile_y0_x7464,29,2,4,0.179,0.000,"(0.877,0.460,0.826,0.985)",0.591,0.385,N/A,N/A,N/A,11009.93568834,609.17644265,89.686,N/A,N/A,-10.1069,6.1043,N/A,11.8073,11.8073,0.2467
11_0021.JPG,3393,sat_tile_y0_x7464,61,2,10,0.307,1.087,"(0.994,0.577,0.989,0.963)",0.699,0.503,11629.51367188,706.06469727,89.320,11619.71864559,702.77826539,91.166,4.8202,-20.9111,2.5425,-19.9298,21.4594,12.3928,20.0913,0.3222
11_0022.JPG,3314,sat_tile_y0_x9952,23,2,5,0.203,0.136,"(0.205,0.000,0.001,0.577)",0.078,0.141,N/A,N/A,N/A,12186.45670467,714.31224263,91.166,N/A,N/A,4.1940,-24.6494,N/A,25.0036,25.0036,0.2407
11_0023.JPG,3081,sat_tile_y0_x9952,528,2,47,0.529,2.097,"(0.983,0.515,0.986,0.912)",0.649,0.589,12782.59716797,655.59405518,87.472,12771.86389082,671.68568473,89.611,13.6710,-7.1172,11.1751,-11.9219,15.4127,28.9124,16.3406,0.3017
11_0024.JPG,3070,sat_tile_y0_x12440,544,2,49,0.702,2.049,"(0.964,0.506,0.974,0.908)",0.639,0.671,13233.21502686,658.69836426,89.211,13285.23193174,663.27578952,89.684,-11.6886,-8.0441,0.4073,-9.4108,14.1891,17.1221,9.4197,0.3485
11_0025.JPG,3159,sat_tile_y0_x12440,735,2,90,0.786,1.996,"(0.984,0.520,0.989,0.896)",0.651,0.648,13858.26721191,634.26416016,88.169,13851.67060563,646.06257238,89.218,4.5115,0.5272,2.9775,-2.9956,4.5422,7.4602,4.2236,0.3254
11_0026.JPG,3139,sat_tile_y0_x12440,531,2,63,0.650,1.757,"(0.997,0.523,0.997,0.882)",0.654,0.652,14483.03308105,555.27636719,88.438,14440.54438640,593.56786349,87.727,19.6566,21.5600,9.7764,10.1269,29.1756,4.8887,14.0759,0.3061
11_0027.JPG,3207,sat_tile_y0_x12440,119,2,11,0.316,0.847,"(0.982,0.476,0.980,0.873)",0.617,0.466,14967.18041992,601.42559814,86.863,14996.37973886,583.91212629,88.173,3.0910,9.6943,9.8809,14.9235,10.1751,22.4625,17.8981,0.2828
11_0028.JPG,3489,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15561.12215570,565.89700268,88.173,N/A,N/A,11.0597,20.9403,N/A,23.6815,23.6815,0.2501
11_0029.JPG,3568,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16125.86457254,547.88187906,88.173,N/A,N/A,12.2471,25.6814,N/A,28.4522,28.4522,0.2478
11_0030.JPG,3266,sat_tile_y0_x14928,22,2,4,0.136,0.000,"(0.000,0.209,0.000,0.000)",0.021,0.079,N/A,N/A,N/A,16690.60698938,529.86675545,88.173,N/A,N/A,14.4228,29.7847,N/A,33.0930,33.0930,0.2756
11_0031.JPG,3032,sat_tile_y0_x14928,741,2,70,0.806,2.102,"(0.936,0.519,0.965,0.861)",0.640,0.723,17258.89282227,715.13153076,88.040,17225.75195599,696.22226896,92.120,17.4226,-24.2561,9.7161,-18.6102,29.8648,36.6609,20.9938,0.3130
11_0032.JPG,2842,sat_tile_y0_x14928,611,2,56,0.888,1.969,"(0.982,0.510,0.991,0.854)",0.640,0.764,17788.26562500,596.89453125,88.148,17794.56895861,638.25555169,89.645,10.3852,9.1336,11.8510,-3.2160,13.8302,30.0941,12.2796,0.2931
11_0033.JPG,3104,sat_tile_y0_x14928,666,2,56,0.743,1.630,"(0.933,0.526,0.959,0.863)",0.644,0.694,18337.46801758,773.18957520,88.961,18357.03009204,706.86604359,92.176,7.9503,-41.5911,12.4993,-21.7882,42.3442,15.4852,25.1189,0.3298
11_0034.JPG,2975,sat_tile_y0_x14928,619,2,66,0.788,1.999,"(0.981,0.502,0.985,0.847)",0.633,0.711,18831.26806641,628.04412842,88.508,18891.02279618,672.59572057,90.056,-7.3591,1.7465,6.5362,-11.5557,7.5635,32.2805,13.2762,0.3086
11_0035.JPG,3171,sat_tile_y0_x14928,505,2,62,0.818,1.956,"(0.975,0.499,0.983,0.832)",0.628,0.723,19486.38085938,649.26300049,88.687,19468.91667963,660.09433572,89.652,15.8312,-3.9512,11.7702,-7.1852,16.3169,14.3093,13.7900,0.3029
11_0036.JPG,3181,sat_tile_y0_x17416,676,2,71,0.829,2.188,"(0.956,0.499,0.971,0.823)",0.624,0.727,19896.30590820,654.83868408,88.030,19981.20357489,655.54680744,89.598,-18.9910,-5.6160,0.7510,-5.8274,19.8039,15.0845,5.8756,0.2991
11_0037.JPG,3198,sat_tile_y0_x17416,686,2,64,0.860,1.850,"(0.937,0.533,0.964,0.815)",0.645,0.753,20602.55151367,707.22613525,87.380,20565.55978527,682.48692456,90.523,16.0897,-22.5336,7.4877,-15.1469,27.6883,6.0850,16.8966,0.3142
11_0038.JPG,3156,sat_tile_y0_x17416,700,2,63,0.877,1.954,"(0.968,0.513,0.977,0.801)",0.634,0.756,21050.28149414,617.79547119,88.584,21096.42671196,648.80726940,89.208,-9.9327,3.5308,0.7978,-5.7287,10.5416,19.1775,5.7840,0.2989
11_0039.JPG,3173,sat_tile_y0_x19904,742,2,36,0.719,1.687,"(0.941,0.546,0.956,0.759)",0.648,0.684,21746.07421875,644.09497070,89.000,21685.72598172,643.75174277,89.478,22.7172,-4.3217,8.6839,-4.2192,23.1246,3.6134,9.6547,0.3100
