image_num,estimated_x,estimated_y,actual_x,actual_y,error_meters,processing_time_sec,measurement_available,feature_count,measurement_error,length_std,length_mean,inlier_count,length_confidence,inlier_confidence,cosine_confidence
00002.png,-43.306869041630705,-24.68509838964052,-7.53658878,-44.6624929,40.97083403371413,0.9619426727294922,True,1937,33.88861764201145,99.30565737138383,703.8582305908203,84,0.8589124158027869,0.336,0.96427983045578
00003.png,-28.810230945459047,-34.286751580714466,-14.75035244,-89.53092686,57.00525489704165,0.5307326316833496,True,1690,18.050550117085642,100.00727309747604,710.6468963623047,254,0.8592729052791219,1.0,0.9661497473716736
00004.png,-20.21540826460589,-53.4565932042732,-21.98248253,-134.48285044,81.04552370791114,0.5183424949645996,True,1650,12.005753487825862,101.87801039032075,709.1309204101562,431,0.8563339893127278,1.0,0.9657497406005859
00005.png,-18.040402986529767,-86.27128607105973,-29.4095792,-179.40805734,93.82812121201103,0.5178108215332031,True,1800,19.65457710867473,106.01750567330207,702.567626953125,357,0.8490999277420799,1.0,0.9656572639942169
00006.png,-20.61166996096004,-131.64765821728244,-37.06131129,-224.27315171,94.07482524365126,0.5579323768615723,True,2002,24.98945176188898,109.47179493037393,692.6821594238281,242,0.8419595575820339,0.968,0.9641779661178589
00007.png,-29.230764620344612,-181.0578296616648,-44.68620015,-269.21839612,89.50506111760313,0.6189415454864502,True,2231,7.257884061211459,101.63140306658505,709.1109161376953,819,0.8566777061899717,1.0,0.9655773043632507
00008.png,-33.229137239666926,-239.6481402457307,-51.97413589,-314.25046973,76.92127494315515,0.6022355556488037,True,2737,16.289927723857193,103.39254243004684,704.9960784912109,732,0.853343095678885,1.0,0.9655184745788574
00009.png,-36.82299767329755,-305.1964320104002,-59.30728127,-359.29478848,58.584769194465856,0.6374866962432861,True,2905,35.140627624594245,103.54814585871375,706.1061859130859,519,0.8533532945546813,1.0,0.9646315276622772
00010.png,-44.08577839112583,-374.93919021079864,-66.9032077,-404.1064495,37.03193344545991,0.6718654632568359,True,3156,50.96321106927153,101.89888429559308,707.833740234375,278,0.8560412163146494,1.0,0.9644527435302734
00011.png,-48.56677014118395,-426.6563773050832,-74.47864851,-448.60530275,33.958515409052175,0.6695694923400879,True,3357,59.67125548151938,100.20871239290716,700.4143829345703,131,0.8569293908942069,0.524,0.9641778767108917
00012.png,-55.29644898472842,-480.3835852496323,-82.19254386,-492.73012251,29.594541757919792,0.8518228530883789,True,3487,25.82558865239785,102.46409988568112,712.1674346923828,1092,0.8561235814862274,1.0,0.9639184474945068
00013.png,-60.66720442559545,-535.6089971591324,-90.17699066,-536.69909499,29.529913594203332,0.910677433013916,True,3780,41.50404472985455,103.23241849858148,713.2997436523438,693,0.8552748414432403,1.0,0.9630601406097412
00014.png,-71.18837360206497,-592.4734630268123,-98.58739707,-580.52446532,29.891220001764058,0.8936629295349121,True,3705,47.87568102574368,103.75888989813996,708.1085968017578,396,0.8534703711171179,1.0,0.9622175693511963
00015.png,-79.01685504738113,-642.3026386080934,-107.00769309,-624.12830986,33.37354101338208,0.7278878688812256,True,3732,54.63541941212333,108.47744008547718,694.6839447021484,146,0.8438463406089113,0.584,0.9626222252845764
00016.png,-90.70934759873634,-694.693308152684,-115.16450165,-667.65534396,36.45690699107513,1.4592671394348145,True,3836,48.18171353327818,101.68161964381827,715.3627777099609,231,0.8578600637157495,0.924,0.9633384943008423
00017.png,-104.23554418483144,-742.7887382776993,-123.12281163,-711.1712461,36.829263950725405,1.5586481094360352,True,3907,41.97002031256929,107.0941841381281,703.3084259033203,281,0.8477279950107555,1.0,0.9622808396816254
00018.png,-116.19917141736056,-788.0206186358519,-130.95608869,-754.74837397,36.397924013545506,1.9088404178619385,True,3800,37.78762519234638,107.53213882350039,700.1781005859375,248,0.8464217336510338,0.992,0.9620841443538666
00019.png,-124.20349887143864,-824.5849345536509,-138.49620947,-798.55927277,29.692030033852763,2.2609386444091797,True,3530,12.17456783144743,102.27404088686642,707.9479675292969,1406,0.8555345229059732,1.0,0.9623830020427704
00020.png,-130.37125037771173,-856.2161380307657,-145.90211412,-842.45032159,20.753443831383223,1.4193475246429443,True,3378,11.61306969948896,102.00186169123421,709.5956268310547,1045,0.8562535367547868,1.0,0.9634115099906921
00021.png,-135.2756536164357,-886.9093219139269,-153.35676042,-886.390351,18.08855312211016,0.7106585502624512,True,3082,25.735001683343565,102.31679235534305,710.5841522216797,479,0.8560103092146876,1.0,0.9640455842018127
00022.png,-140.45849386188218,-925.5259625457294,-161.27551196,-932.17271798,21.852404908850897,0.7367990016937256,True,2895,18.65549137634538,102.72818457647658,709.6906280517578,672,0.8552493431419745,1.0,0.9639104902744293
00023.png,-147.2782017393328,-969.6835373457815,-169.10596341,-976.29865094,22.80813248417904,0.73752760887146,True,2606,11.769673007724085,102.55516775138396,709.6654663085938,871,0.8554880114360977,1.0,0.9635169208049774
00024.png,-154.81254698167845,-1017.0762282751818,-177.13703266,-1020.44573459,22.57733893990129,0.7189395427703857,True,2633,14.947209139244539,102.52780464740377,707.2596435546875,684,0.8550351266585791,1.0,0.9639757871627808
00025.png,-164.33922017654692,-1067.9647934581894,-185.22461396,-1064.68521343,21.141317807818883,0.7205944061279297,True,2748,23.077989786729237,100.97565334720117,703.4812316894531,408,0.8564629036304181,1.0,0.9642408490180969
00026.png,-174.09997261636465,-1120.1174630896592,-193.36941372,-1108.88795683,22.30276151695567,0.729241132736206,True,2776,31.569448147413617,96.2127527455738,696.4404144287109,250,0.8618507043068473,1.0,0.9632493257522583
00027.png,-182.48152181310195,-1167.5923811073437,-201.27403724,-1153.2086989,23.665353365459385,0.7179298400878906,True,2719,35.36257505690569,86.33097804143908,669.3067626953125,93,0.8710143347517028,0.372,0.9625175297260284
00028.png,-189.8999803926093,-1212.193909626763,-208.71031712,-1197.61293058,23.799868019801323,0.8929784297943115,True,2805,21.706442465579254,102.901793066577,708.0169525146484,918,0.854661964376555,1.0,0.9619792103767395
00029.png,-195.77037119533054,-1259.5464953296344,-216.42279967,-1241.88580526,27.17393559345086,0.7189054489135742,True,2788,30.425055790239124,101.95647574037133,707.0112152099609,628,0.8557922794617998,1.0,0.9633387327194214
00030.png,-204.6618499030612,-1308.7463643786598,-224.40371447,-1286.24105637,29.93710248410823,0.7651305198669434,True,2567,32.46409834554778,103.21577144579865,696.0844573974609,293,0.851719471180689,1.0,0.9625842571258545
00031.png,-213.37476523674212,-1356.7630465838433,-232.45880134,-1330.6786839,32.32018580721241,0.6799054145812988,True,2489,36.48653607832084,108.87179194563764,688.7751770019531,163,0.8419342107833702,0.652,0.9622191786766052
00032.png,-220.93974701074157,-1404.101810406913,-240.57746427,-1375.09293434,35.03076975774432,0.7183973789215088,True,2526,41.391351686035925,119.35171772340198,632.1055297851562,31,0.8111838734206803,0.124,0.9621656239032745
00033.png,-226.06281575203155,-1452.268351523107,-248.5986439,-1419.70644666,39.59976260823791,0.8021578788757324,True,2665,43.98228961791067,94.12211932361528,715.537353515625,78,0.8684595306434132,0.312,0.9643471240997314
00034.png,-234.66232581561874,-1500.1873141228086,-256.66785879,-1464.58823896,41.85137553216008,0.8395578861236572,True,2699,42.23446248735617,104.09973801749082,678.4058685302734,78,0.8465524211295271,0.312,0.9632372558116913
00035.png,-242.6258559735722,-1549.4015908027593,-264.73778007,-1509.61029382,45.5223516837206,0.8303737640380859,True,2743,48.8167525799212,94.15695430295419,720.7629852294922,112,0.8693648866097439,0.448,0.9624319672584534
00036.png,-249.65832132257808,-1596.012048471249,-272.77661972,-1554.7581397,47.2899641541288,0.8104257583618164,True,2530,41.17958174769446,119.91447116124466,696.4114379882812,51,0.8278108821594878,0.204,0.9629754424095154
00037.png,-256.0307952773043,-1651.994264695811,-280.82393619,-1599.91600433,57.67880927208853,1.5229449272155762,True,2324,84.9072991039089,74.10915379142612,820.1282348632812,55,0.9096371144888331,0.22,0.9606715142726898
00038.png,-260.5310572849749,-1700.9672557744889,-288.67981807,-1644.97479462,62.66983676274825,2.09246826171875,True,2137,61.6939122507282,90.70798257885392,716.6151580810547,30,0.8734216244856572,0.12,0.960359513759613
00039.png,-278.5003893734751,-1731.7040671375526,-296.61269762,-1689.90779389,45.551994110041015,2.2671186923980713,True,2021,21.922158851209648,100.07659892744665,706.5486297607422,502,0.8583585124758709,1.0,0.9575047492980957
00040.png,-285.23351484269995,-1760.5295966488773,-304.38310502,-1734.74060561,32.12131477324416,0.6969923973083496,True,2087,13.092613438684568,102.0959528865895,712.1499938964844,516,0.8566370093918307,1.0,0.9622812867164612
00041.png,-292.1363027460974,-1800.383644639875,-312.12384359,-1779.32740125,29.032174818299872,0.6902551651000977,True,2406,16.471652376935353,102.91202829895447,710.7334899902344,830,0.8552030687334453,1.0,0.9629358649253845
00042.png,-300.6251904413179,-1845.154587376035,-319.77698848,-1823.52235229,28.89195325574136,0.6687498092651367,True,2680,23.20865560937049,102.2854646372009,709.0922088623047,716,0.855751532228352,1.0,0.9639347791671753
00043.png,-310.0639842671908,-1892.0435403023,-327.29026603,-1867.26757259,30.176039492495054,0.7147150039672852,True,3046,30.06136360712472,102.52928130038632,705.8448486328125,600,0.8547424671314374,1.0,0.9632484614849091
00044.png,-316.80624245840914,-1939.4467461727497,-334.62976902,-1910.66547608,33.85320674978292,0.6959171295166016,True,3344,35.891063275102155,103.09326463099448,701.0315246582031,470,0.8529406153578344,1.0,0.9638003706932068
