image_num,estimated_lat,estimated_lon,actual_lat,actual_lon,error_meters,processing_time_sec,measurement_available,feature_count,measurement_error_meters,length_std,length_mean,inlier_count,length_confidence,inlier_confidence
2,24.665892945201925,102.34180842598352,24.66596486,102.3418474,8.92388732525132,0.7273554801940918,True,3131,7.509624327600374,159.80573291230604,1076.6351013183594,28,0.85156927104028,0.112
3,24.66617193533669,102.34230704718829,24.66601643,102.3424433,22.128681163512173,0.8273234367370605,True,2713,53.27149768350867,181.79760926211424,1085.0844421386719,32,0.8324576390536057,0.128
4,24.666232827951156,102.34293440812638,24.66602789,102.3430392,25.15670180175126,0.8411242961883545,True,2337,28.43292540394351,173.39656394759476,1093.182601928711,42,0.8413837142654211,0.168
5,24.66635087668838,102.34340912970073,24.66602216,102.3436236,42.5419535677913,0.9636073112487793,True,2059,50.213084450722754,182.64682543354826,1105.6536407470703,45,0.834806472205765,0.18
6,24.66640145495743,102.34382074371825,24.66600497,102.3442195,59.795457931484286,0.8167824745178223,False,2109,,,,,,
7,24.666290778111357,102.34459586332166,24.66601643,102.3448153,37.75663024759805,0.8297808170318604,True,1694,20.60151847874458,185.23599448805518,1091.6263275146484,24,0.8303119026912902,0.096
8,24.66621253967091,102.34519538036352,24.6660107,102.3454112,31.33014918779382,0.9212706089019775,True,1753,16.99388660752671,176.42904973060774,1080.7449645996094,60,0.8367523740478675,0.24
9,24.666020200180018,102.34600017575124,24.66599351,102.3459956,3.006997621108289,0.8815233707427979,True,1749,28.33007694923388,181.3616281309142,1087.8665771484375,64,0.8332868828397072,0.256
10,24.665820959021676,102.34652188216607,24.66598205,102.3465915,19.266180810737723,0.9460263252258301,True,1795,48.63994437172108,188.257627467207,1090.2041931152344,31,0.827318929191361,0.124
11,24.66581523535001,102.34726055288023,24.66598778,102.3471759,21.030464825641335,0.7427666187286377,True,2335,15.589431816694281,166.39436608142375,1081.7712860107422,68,0.8461834139681801,0.272
12,24.665688672085984,102.34776538065029,24.66597632,102.3477718,32.02755092857112,0.7470319271087646,True,2275,41.807869072301976,181.73285797338005,1095.1976623535156,117,0.8340638733807678,0.468
13,24.66584356475523,102.34829905188028,24.66598778,102.3483677,17.49187802615392,0.8636960983276367,True,2356,31.84623744509059,175.25092068168567,1083.458236694336,93,0.8382485685683819,0.372
14,24.665922039557437,102.34905441979932,24.66598778,102.3489521,12.677191270997639,0.8541035652160645,True,2166,27.080609298641477,179.22979817431693,1092.78857421875,73,0.8359885869941028,0.292
15,24.66580446253554,102.34950364104999,24.66597059,102.349548,19.030035818554655,0.8825223445892334,True,1952,44.27438537599162,183.3846045254118,1102.3063049316406,70,0.8336355297026226,0.28
16,24.66578370683425,102.35023979447828,24.66596486,102.3501439,22.378243559427336,0.8629970550537109,True,2177,18.54654875349035,173.71710385944058,1076.5172271728516,43,0.8386304468943276,0.172
17,24.665791820773727,102.35075476535347,24.66597059,102.3507397,19.958870234292277,0.8074376583099365,True,2524,15.270782009004238,180.92215347362296,1060.2019653320312,42,0.8293512374154464,0.168
18,24.665730667980164,102.3515014189422,24.66597632,102.3513241,32.70496655543048,0.8990433216094971,True,2971,37.655164877721134,163.96291074695642,1045.9326629638672,99,0.8432376035735096,0.396
19,24.665856594686186,102.3520219670078,24.66597632,102.35192,16.853721636272777,0.8326828479766846,True,3416,18.221468023816602,163.50133561606498,1072.981185913086,149,0.8476195689517813,0.596
20,24.66581791913479,102.35246737140196,24.66597632,102.3525159,18.30390946033562,0.8442091941833496,True,3783,23.9824254857818,165.16947212088877,1073.8750610351562,205,0.8461930273697998,0.82
21,24.665811803200445,102.3530499957561,24.66598778,102.3531003,20.24000741727578,0.8580191135406494,True,4348,28.345757505791394,170.141502018164,1078.445053100586,471,0.8422344267526674,1.0
22,24.66602417252933,102.35353785233575,24.66599351,102.3536962,16.379428408604767,0.7754678726196289,True,4781,35.55802454734766,167.5527808817186,1081.4037780761719,530,0.845059926478344,1.0
23,24.666100740252006,102.3540525731628,24.66598205,102.3542921,27.600583143726535,0.8396496772766113,True,4815,26.978203146810294,182.29985806364874,1086.52880859375,499,0.8322181090627574,1.0
24,24.666110341705515,102.35475211158376,24.66597059,102.3548879,20.75439798068021,0.9641010761260986,True,4218,26.019377064472653,217.04177795125878,1050.4798278808594,66,0.7933879621571613,0.264
25,24.66603431120549,102.35525042251058,24.66595913,102.3554838,25.049915083407974,0.9580545425415039,True,3213,30.341662375131758,181.73380402034348,1066.3908233642578,74,0.8295804877174315,0.296
26,24.665921920577745,102.3559645627961,24.66596486,102.3560797,12.590906380619678,0.9119482040405273,True,3161,31.93155827598192,169.79464772072998,1079.4433135986328,111,0.8427016541010652,0.444
27,24.666116435346147,102.35650280059645,24.66598205,102.3566641,22.1378992994881,0.8566217422485352,True,3352,75.32108584166264,193.8924806137964,1115.5499267578125,68,0.8261911224562424,0.272
28,24.66612298978578,102.35702664605681,24.66598205,102.35726,28.346084952111013,0.9288392066955566,True,4025,15.141112122114627,168.3156553551575,1049.9458923339844,65,0.8396911149573631,0.26
29,24.665947149803788,102.35779081872984,24.66596486,102.3578444,5.76812724184315,0.934035062789917,True,4994,13.8465622788022,173.5485171014257,1070.2687530517578,434,0.8378458526360126,1.0
30,24.66588527485373,102.35834609895664,24.66595913,102.3584403,12.586443546512596,0.9842276573181152,True,5590,13.044110911904278,171.39449407525404,1074.126953125,550,0.8404336716655241,1.0
31,24.665916484579583,102.35897334643029,24.66596486,102.3590362,8.332727513660998,0.9271175861358643,True,5680,17.432710066348935,169.51725440118418,1079.1743774414062,480,0.8429194966590206,1.0
32,24.666033484009358,102.35981586505022,24.66598205,102.3596206,20.567723333320096,0.8005905151367188,True,5426,39.8234822260228,177.80618157033823,1096.8345489501953,546,0.8378915199739829,1.0
33,24.665816346924718,102.36032287424945,24.66597059,102.3602164,20.269520648129728,0.8196799755096436,True,4821,50.812169928198784,187.39919377947362,1111.4361419677734,521,0.8313900486916977,1.0
34,24.665687593674978,102.36087992206447,24.66597059,102.3608123,32.23741615790385,0.8297591209411621,True,4691,48.01715661781831,188.71850046937934,1122.6412658691406,304,0.8318977698336477,1.0
35,24.66572122753532,102.36145049339062,24.66598205,102.3613967,29.540391031644084,0.8426337242126465,True,4810,25.241213756815363,183.9263385042931,1118.6617126464844,177,0.8355835938380624,0.708
36,24.665861982029195,102.36223095811009,24.66597632,102.3619926,27.267334805320743,0.8512639999389648,True,4673,22.750066901020585,180.1911004561062,1102.2269134521484,388,0.8365208667498855,1.0
37,24.665874154888336,102.36276168548419,24.66596486,102.3625885,20.22223583685752,0.9918403625488281,True,4590,20.16631749302434,173.702086457314,1103.3352508544922,333,0.8425663583912613,1.0
38,24.665837325008585,102.36328151597112,24.66595913,102.3631729,17.45288890616522,0.9018182754516602,True,4228,22.783915204348173,182.85107041365555,1100.4693145751953,223,0.8338426451406871,0.892
39,24.66598502714234,102.36406511987616,24.66597632,102.3637688,29.993952332285417,0.8913304805755615,True,3611,34.637372951311434,182.51064856726342,1120.4649963378906,255,0.8371116909820671,1.0
40,24.66591504480099,102.36435632004556,24.66597632,102.3642042,16.833702869781522,0.8471570014953613,True,3115,33.3838707319985,182.96873738131197,1131.9389343261719,231,0.8383581200073917,0.924
42,24.664617149779193,102.36385887535269,24.66461268,102.3638032,5.654536039117378,0.9314494132995605,True,3858,10.541228132857265,175.99278821449474,1200.4609832763672,40,0.8533956616114544,0.16
43,24.66460693941826,102.36338852420354,24.66461841,102.3632073,18.37862290616521,0.9354491233825684,True,4042,36.83447703203471,193.77545993138668,1206.1322631835938,40,0.8393414504807996,0.16
44,24.664599470880077,102.36273926960143,24.66462987,102.3626229,12.24966060911307,0.8853118419647217,True,4744,7.1815014624646905,204.3867944673777,1018.9158782958984,35,0.7994075872002235,0.14
45,24.664939767262155,102.36195318801985,24.66464133,102.362027,34.0509416964144,0.8725728988647461,True,5012,49.199353926886054,190.5031008445272,1110.0365905761719,188,0.8283812421483824,0.752
46,24.664761345238034,102.36130512589858,24.66461841,102.3614311,20.38634559244525,0.9822537899017334,True,4975,21.112664339086866,178.12853797756964,1119.1593933105469,152,0.8408372042067629,0.608
47,24.664784618791813,102.36066278804691,24.66461841,102.3608467,26.239767322296572,0.8918037414550781,True,5310,26.198777578215967,174.7480949189865,1112.0689544677734,293,0.8428621766510698,1.0
48,24.664696140664635,102.3598822665853,24.66461841,102.3602508,38.27496859459469,0.8231410980224609,True,5859,31.929866619337997,177.18556700944575,1095.7671356201172,256,0.8382999806713743,1.0
49,24.66450092392317,102.35927713482698,24.66461841,102.359655,40.40343177035718,0.945098876953125,True,6088,49.1455079946338,176.2201796166478,1085.1922607421875,279,0.8376138625462304,1.0
50,24.664602590048077,102.35858688694904,24.6646356,102.3590705,49.06428801217075,0.8851335048675537,True,6128,60.402265348836146,179.95147286919203,1096.2490692138672,535,0.8358480039593217,1.0
51,24.66473557681697,102.3580590567837,24.6646356,102.3584747,43.497958036793186,0.9334344863891602,True,5672,38.8179737882279,183.95003705948855,1090.34326171875,521,0.8312916275838482,1.0
53,24.664377406671353,102.35430139579967,24.66462414,102.3543264,27.582597714347,0.949310302734375,True,3912,33.5425186684352,185.52866657773382,1081.5272369384766,151,0.8284567783027662,0.604
54,24.664628749999263,102.35369769864137,24.66462987,102.3537306,3.330920793491089,0.8316648006439209,True,4272,14.769436506226198,170.42425864083853,1052.7576293945312,160,0.8381163395236052,0.64
55,24.664555608433012,102.35310079137123,24.66460695,102.3531347,6.665839416715391,0.9986016750335693,True,3896,22.827442701750062,171.96268932020257,1064.3549499511719,119,0.8384348291628733,0.476
56,24.664780792953596,102.35248705396694,24.66462414,102.3525503,18.57541451700378,0.8764960765838623,True,3825,43.46357023556635,191.95609948162297,1072.4996032714844,47,0.8210198876567485,0.188
57,24.66472428348032,102.35187351704627,24.66462414,102.3519544,13.82880462213791,0.8633530139923096,True,3014,16.145099412999134,173.23547158664684,1084.3133697509766,49,0.8402348652895131,0.196
58,24.664774536147597,102.35129511436305,24.66462987,102.3513585,17.33402316539866,1.0162982940673828,True,2785,14.428459500672155,188.48742846568052,1066.4540405273438,33,0.8232578045534183,0.132
59,24.66482949311143,102.35070413990616,24.66461841,102.3507626,24.230653798692728,1.324366569519043,False,2527,,,,,,
60,24.664760950111447,102.35017776959423,24.66461841,102.3501782,15.867624952093456,0.9682073593139648,True,2405,9.600554762569793,179.84690653017242,1098.4132080078125,49,0.8362666205950309,0.196
61,24.664793978764695,102.34959732279377,24.66461268,102.3495824,20.238566656987643,0.9479031562805176,False,2383,,,,,,
62,24.66489040382635,102.3491301426289,24.66462414,102.3489865,33.01123282685618,0.9805617332458496,True,2338,36.51131307674182,183.18784927920652,1114.369125366211,69,0.83561295345561,0.276
63,24.664716656188695,102.34839991589897,24.66462987,102.3484021,9.663565069868381,0.8398869037628174,True,2541,38.14767941601699,168.70593399217867,939.7459106445312,39,0.8204770756847768,0.156
64,24.66464835480086,102.34773064296293,24.66461841,102.3478062,8.339228463164803,0.7104055881500244,True,2539,23.275350295958326,184.9227433978083,1124.6235961914062,39,0.8355692126467394,0.156
65,24.66450526149881,102.34704202169841,24.66461841,102.3472103,21.177458343809597,1.002281665802002,True,2403,53.49768520886682,199.36548297932154,1101.942886352539,44,0.8190782068213838,0.176
66,24.664657694514844,102.34634842275258,24.66464133,102.3466259,28.131049406357793,0.7736928462982178,True,2141,52.84447015202556,167.87791689609872,1109.7495880126953,73,0.8487245062224089,0.292
