drone_image,features_drone,tile,total_matches,search_tiles,inliers,LG_confidence,median_reproj_error_px,shape_terms,shape_score,overall_confidence,x_meas,y_meas,phi_meas_deg,x_ekf,y_ekf,phi_ekf_deg,dx,dy,dx_ekf,dy_ekf,error,error_pred,ekf_error,time_s
03_0002.JPG,4621,sat_tile_y16548_x32727,767,4,117,0.711,1.851,"(0.963,0.714,0.961,0.969)",0.789,0.685,33552.77856445,18756.03125000,-47.760,33572.52993338,18748.19285926,-49.664,-13.8968,5.0435,-8.9121,7.3840,14.7837,32.3685,11.5736,0.6884
03_0003.JPG,4105,sat_tile_y17730_x32727,663,4,72,0.579,1.798,"(0.978,0.731,0.975,0.962)",0.803,0.691,33296.40527344,18560.98138428,-48.839,33293.32430192,18546.58103839,-52.158,-4.2019,4.6048,-4.9794,8.9047,6.2338,18.9677,10.2023,0.5418
03_0004.JPG,3829,sat_tile_y17730_x30732,457,6,99,0.590,1.699,"(0.997,0.729,0.991,0.956)",0.805,0.655,32980.42382812,18375.96105957,-47.898,32990.92552156,18360.49972770,-54.986,-8.4683,1.8093,-5.8180,6.4259,8.6595,15.7401,8.6684,0.5334
03_0005.JPG,3149,sat_tile_y17730_x31914,696,6,141,0.697,1.821,"(0.985,0.735,0.981,0.958)",0.807,0.689,32657.37207031,18189.85153198,-48.401,32673.45810881,18179.39362014,-57.077,-15.6011,-1.2989,-11.5415,1.8238,15.6550,9.3791,11.6847,0.5156
03_0006.JPG,3305,sat_tile_y16548_x30732,591,4,139,0.650,1.867,"(0.993,0.733,0.981,0.958)",0.806,0.666,32336.01184082,18001.91711426,-47.928,32333.19581713,17983.57610186,-58.006,-20.1522,-2.5864,-20.8629,2.8900,20.3175,23.7316,21.0621,0.4179
03_0007.JPG,3640,sat_tile_y17730_x30732,320,6,55,0.592,1.668,"(0.989,0.732,0.960,0.964)",0.804,0.698,32129.64013672,17800.28098297,-47.058,32087.03969578,17796.47416453,-56.320,3.2337,0.2161,-7.5171,1.3528,3.2409,20.7351,7.6379,0.5085
03_0008.JPG,4502,sat_tile_y15366_x29550,600,4,121,0.858,1.882,"(0.990,0.777,0.988,0.954)",0.837,0.761,31774.51342773,17596.23681641,-47.282,31787.60475128,17601.28695777,-56.378,-11.9935,1.8252,-8.6897,0.3173,12.1316,4.9721,8.6955,0.4307
03_0009.JPG,5047,sat_tile_y15366_x29550,1180,4,245,0.875,1.762,"(0.993,0.751,0.987,0.955)",0.819,0.770,31456.88427734,17437.63452148,-47.067,31477.57798007,17425.43051888,-57.384,-16.6850,-8.2207,-11.4627,-4.5766,18.6003,5.6894,12.3426,0.4240
03_0010.JPG,5737,sat_tile_y16548_x29550,1774,4,364,0.844,1.919,"(0.998,0.745,0.993,0.956)",0.816,0.744,31196.41271973,17179.73577881,-47.604,31191.70437679,17209.30910300,-56.079,-6.9428,10.1068,-8.1310,1.2765,12.2617,12.2614,8.2306,0.4619
03_0011.JPG,5846,sat_tile_y16548_x30732,1030,4,162,0.796,1.916,"(0.998,0.741,0.990,0.960)",0.814,0.724,30877.86535645,17024.76376343,-48.513,30890.18787647,17020.42876263,-56.836,-11.8660,-1.0230,-8.7563,0.2714,11.9100,6.2329,8.7605,0.4645
03_0012.JPG,5669,sat_tile_y16548_x29550,1597,4,162,0.685,1.860,"(0.908,0.833,0.920,0.974)",0.863,0.703,30554.81030273,16833.45971680,-47.447,30553.99530733,16816.42905211,-57.313,-17.9267,-1.3044,-18.1323,3.7808,17.9741,19.8599,18.5223,0.4693
03_0013.JPG,5133,sat_tile_y14184_x29550,822,6,121,0.751,1.638,"(0.955,0.783,0.967,0.949)",0.835,0.737,30317.88452148,16627.70336914,-47.459,30288.13990129,16626.16556821,-56.501,-3.3246,0.8148,-10.8309,1.2740,3.4230,17.9166,10.9055,0.5933
03_0014.JPG,4583,sat_tile_y14184_x28368,1033,4,148,0.808,1.901,"(0.993,0.758,0.984,0.964)",0.825,0.734,29977.71813965,16448.06127930,-48.273,29989.64418892,16442.75684767,-57.151,-12.6215,-1.6730,-9.6119,-0.0892,12.7319,7.0196,9.6123,0.4285
03_0015.JPG,4365,sat_tile_y15366_x28368,1548,4,226,0.828,1.979,"(0.999,0.740,0.996,0.957)",0.813,0.732,29680.49694824,16249.65069580,-50.165,29689.87528122,16254.41693669,-57.798,-12.1534,-1.7461,-9.7867,-3.1692,12.2782,8.1665,10.2871,0.4150
03_0016.JPG,4747,sat_tile_y15366_x27186,1231,4,196,0.837,1.891,"(0.999,0.776,0.975,0.961)",0.837,0.752,29393.29858398,16048.35272217,-47.264,29373.77337127,16043.90869214,-57.075,-10.2474,-0.3191,-15.1746,1.0079,10.2524,20.2304,15.2081,0.4273
03_0017.JPG,4893,sat_tile_y14184_x28368,1771,4,301,0.849,1.899,"(0.999,0.755,0.994,0.959)",0.823,0.750,29089.50360107,15835.84643555,-48.397,29087.34747515,15847.09605142,-56.786,-11.4382,7.0060,-11.9823,3.6470,13.4134,12.5301,12.5251,0.4620
03_0018.JPG,5168,sat_tile_y15366_x27186,1576,4,252,0.791,2.019,"(0.997,0.745,0.992,0.960)",0.816,0.715,28813.18762207,15665.41778564,-49.424,28804.41741434,15662.37888498,-57.122,-5.7042,-1.4222,-7.9173,-0.5148,5.8788,9.2778,7.9341,0.4659
03_0019.JPG,5532,sat_tile_y15366_x28368,527,4,73,0.807,1.714,"(0.985,0.757,0.976,0.968)",0.823,0.815,28453.76130676,15456.46235657,-47.898,28463.59446831,15453.30548366,-57.351,-20.9335,3.5659,-18.4521,4.5085,21.2350,16.5338,18.9949,0.4746
