num,filename,date,lat,lon,height,Omega,Kappa,Phi1,Phi2
1,08_0001.JPG,2019-06-14T15:59:51,30.94534738,120.1445972,551.9,-5.357155,1.122997,98.336746,103.602229
2,08_0002.JPG,2019-06-14T15:59:53,30.94524425,120.1451014,552.04,-8.69177,-0.257831,97.259586,101.14424
3,08_0003.JPG,2019-06-14T15:59:55,30.94516977,120.1456286,552.18,-2.366316,-0.148969,95.43185,99.058673
4,08_0004.JPG,2019-06-14T15:59:57,30.94509528,120.1461442,551.7,-4.979003,0.555769,100.078538,99.339423
5,08_0005.JPG,2019-06-14T15:59:59,30.94503799,120.1466599,551.78,-3.088243,-0.011459,100.943704,99.110239
6,08_0006.JPG,2019-06-14T16:00:01,30.9449635,120.1471755,551.67,-1.799087,1.214671,103.292831,99.895192
7,08_0007.JPG,2019-06-14T16:00:03,30.94489475,120.1476912,552.03,-2.457989,-0.045837,105.693524,100.296262
8,08_0008.JPG,2019-06-14T16:00:04,30.9448088,120.1482069,551.84,-2.137133,-0.647442,105.183592,100.032701
9,08_0009.JPG,2019-06-14T16:00:06,30.94472286,120.1487225,551.5,-3.288778,1.438124,108.718742,100.554093
10,08_0010.JPG,2019-06-14T16:00:08,30.94464264,120.1492267,551.17,-3.076783,2.331938,107.223322,99.746223
11,08_0011.JPG,2019-06-14T16:00:10,30.94457962,120.1497538,551.19,-3.248671,1.753251,106.850899,98.628955
12,08_0012.JPG,2019-06-14T16:00:12,30.94452232,120.1502695,551.64,-1.042783,0.154699,109.469316,99.173265
13,08_0013.JPG,2019-06-14T16:00:14,30.94444784,120.1507852,552.42,0.80787,-0.527121,110.592314,100.720251
14,08_0014.JPG,2019-06-14T16:00:16,30.94433898,120.1512894,552.27,-4.469071,-0.601606,112.706528,101.4078
15,08_0015.JPG,2019-06-14T16:00:18,30.94425876,120.1518165,551.59,-3.781521,0.933921,112.351294,100.095727
16,08_0016.JPG,2019-06-14T16:00:20,30.94419574,120.1523322,551.3,-5.02484,0.630254,109.566719,98.28518
17,08_0017.JPG,2019-06-14T16:00:22,30.94412698,120.1528478,551.52,-0.550039,-0.189076,113.63472,99.64882
18,08_0018.JPG,2019-06-14T16:00:24,30.94405823,120.1533635,552.22,-1.369369,-1.059972,115.439537,100.605659
19,08_0019.JPG,2019-06-14T16:00:26,30.94396655,120.1538791,551.63,-4.125296,-0.716197,116.041142,101.052566
20,08_0020.JPG,2019-06-14T16:00:28,30.94388634,120.1543948,551.5,-4.428964,-1.695955,116.940686,100.101456
21,08_0021.JPG,2019-06-14T16:00:29,30.94380613,120.154899,551.93,-2.922085,-0.882355,116.533886,99.809248
22,08_0022.JPG,2019-06-14T16:00:31,30.94372018,120.1554147,551.72,-3.558068,-0.108862,119.186681,100.565552
23,08_0023.JPG,2019-06-14T16:00:33,30.94363997,120.1559418,551.84,-3.202834,-1.529797,117.656883,100.101456
24,08_0024.JPG,2019-06-14T16:00:35,30.94356548,120.156446,551.46,-5.420181,-0.962569,116.596911,99.356611
25,08_0025.JPG,2019-06-14T16:00:37,30.94350246,120.1569617,551.26,-1.237589,0.126051,116.023954,98.565929
26,08_0026.JPG,2019-06-14T16:00:39,30.94342797,120.1574773,551.49,-1.610011,0.595876,117.490725,99.201913
27,08_0027.JPG,2019-06-14T16:00:41,30.94335349,120.1580044,551.7,-1.592823,-0.148969,119.232517,99.935299
28,08_0028.JPG,2019-06-14T16:00:43,30.94327328,120.1585201,552.01,-2.692902,-1.77044,119.994551,100.015513
29,08_0029.JPG,2019-06-14T16:00:44,30.94319879,120.1590243,552.07,-0.578687,-0.888085,120.13779,99.580065
30,08_0030.JPG,2019-06-14T16:00:46,30.94312431,120.15954,551.97,-2.480907,-0.458366,121.91396,100.198859
31,08_0031.JPG,2019-06-14T16:00:48,30.94303836,120.1600671,552.05,-3.66693,-0.756304,123.323436,100.554093
32,08_0032.JPG,2019-06-14T16:00:50,30.94296388,120.1605713,551.87,-3.099702,-1.048513,122.916636,100.05562
33,08_0033.JPG,2019-06-14T16:00:52,30.94288939,120.161087,551.47,-0.561499,-0.464096,121.971255,100.004054
34,08_0034.JPG,2019-06-14T16:00:54,30.94280918,120.1616026,551.58,-2.074107,0.320856,122.211898,100.227507
35,08_0035.JPG,2019-06-14T16:00:56,30.94272324,120.1621297,551.53,-2.945003,-1.191752,123.753154,100.708792
36,08_0036.JPG,2019-06-14T16:00:58,30.94264302,120.1626339,551.72,-1.724603,-0.171887,124.750101,100.743169
37,08_0037.JPG,2019-06-14T16:01:00,30.94255708,120.1631496,551.49,-4.864412,-0.223454,124.245898,100.296262
38,08_0038.JPG,2019-06-14T16:01:02,30.94248259,120.1636653,551.33,-1.862113,0.332316,122.292112,98.840949
39,08_0039.JPG,2019-06-14T16:01:04,30.94241957,120.1641695,551.58,-1.862113,1.077161,123.781802,99.50558
40,08_0040.JPG,2019-06-14T16:01:06,30.94233935,120.1646966,551.87,-1.2204,0.286479,124.34903,100.680144
41,08_0041.JPG,2019-06-14T16:01:08,30.94225341,120.1652122,551.96,-3.867465,-0.183346,123.907853,100.622848
42,08_0042.JPG,2019-06-14T16:01:10,30.9421732,120.1657165,551.05,-3.059595,0.13751,123.392191,99.557146
