num,filename,date,lat,lon,height,Omega,Kappa,Phi1,Phi2
1,05_0001.JPG,2016-06-27T16:05:28,24.66589038,102.3412515,2315.22,13.733798,-1.506879,91.117478,77.996745
2,05_0002.JPG,2016-06-27T16:05:31,24.66596486,102.3418474,2315.11,2.131403,-4.807116,92.532684,84.058638
3,05_0003.JPG,2016-06-27T16:05:33,24.66601643,102.3424433,2314.43,7.763578,-4.961815,96.342853,85.903562
4,05_0004.JPG,2016-06-27T16:05:36,24.66602789,102.3430392,2313.3,4.61804,-6.25097,99.998324,89.954374
5,05_0005.JPG,2016-06-27T16:05:38,24.66602216,102.3436236,2313.45,6.554637,-5.477477,97.391366,90.063236
6,05_0006.JPG,2016-06-27T16:05:40,24.66600497,102.3442195,2311.46,-3.025217,-4.268536,101.4078,90.997157
7,05_0007.JPG,2016-06-27T16:05:43,24.66601643,102.3448153,2311.47,3.185645,-3.53515,103.069378,88.034965
8,05_0008.JPG,2016-06-27T16:05:45,24.6660107,102.3454112,2312.45,3.701307,-3.52369,104.513231,92.074318
9,05_0009.JPG,2016-06-27T16:05:48,24.66599351,102.3459956,2311.79,0.257831,-0.26929,107.137378,91.822216
10,05_0010.JPG,2016-06-27T16:05:50,24.66598205,102.3465915,2311.96,-5.168079,-1.862113,96.400149,89.135044
11,05_0011.JPG,2016-06-27T16:05:53,24.66598778,102.3471759,2314.2,1.856383,-0.94538,96.950189,90.068965
12,05_0012.JPG,2016-06-27T16:05:55,24.66597632,102.3477718,2313.72,-2.99084,-2.263183,105.62477,91.254988
13,05_0013.JPG,2016-06-27T16:05:57,24.66598778,102.3483677,2312.06,4.669606,-2.939273,102.674037,87.668272
14,05_0014.JPG,2016-06-27T16:06:00,24.66598778,102.3489521,2312.69,3.775792,-2.57831,104.708037,90.859647
15,05_0015.JPG,2016-06-27T16:06:02,24.66597059,102.349548,2314.43,-3.93049,-4.096648,106.111784,91.621681
16,05_0016.JPG,2016-06-27T16:06:05,24.66596486,102.3501439,2311.89,-0.372423,-1.117268,100.004054,88.991805
17,05_0017.JPG,2016-06-27T16:06:07,24.66597059,102.3507397,2311.81,0.41253,-0.550039,104.461665,89.587681
